#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
432,"Pietrangelo, Alex",RD,23,Stnd,UFA,"$6,500,000",81,164,8,43,51,25:21:00,"$39,634","$812,500","$151,162","$127,450","$3,165"
433,"Kane, Evander","LW, RW",22,Stnd,UFA,"$5,250,000",63,250,19,22,41,20:17,"$21,000","$276,315","$238,636","$128,048","$4,108"
434,"Ott, Steve","C, LW",31,Stnd,UFA,"$2,950,000",82,127,9,14,23,18:14,"$23,228","$327,777","$210,714","$128,260","$1,973"
435,"Bennett, Beau","RW, LW",22,ELC,RFA,"$900,000",21,27,3,4,7,13:50,"$33,333","$300,000","$225,000","$128,571","$3,098"
436,"Shore, Drew",C,22,ELC,RFA,"$900,000",24,23,5,2,7,11:59,"$39,130","$180,000","$450,000","$128,571","$3,129"
437,"Pysyk, Mark","RD, RW",21,ELC,RFA,"$900,000",44,51,1,6,7,19:37,"$17,647","$900,000","$150,000","$128,571","$1,042"
438,"Bertuzzi, Todd",RW,38,35+,UFA,"$2,075,000",59,100,9,7,16,14:39,"$20,750","$230,555","$296,428","$129,687","$2,400"
439,"Gagner, Sam","C, RW",24,Stnd,UFA,"$4,800,000",67,143,10,27,37,18:22,"$33,566","$480,000","$177,777","$129,729","$3,900"
440,"Sedin, Daniel",LW,33,Stnd,UFA,"$6,100,000",73,224,16,31,47,20:36,"$27,232","$381,250","$196,774","$129,787","$4,056"
441,"Methot, Marc",LD,28,Stnd,UFA,"$3,000,000",75,117,6,17,23,21:45,"$25,641","$500,000","$176,470","$130,434","$1,839"
442,"Richards, Brad","C, LW",33,Stnd,UFA,"$6,666,666",82,259,20,31,51,18:41,"$25,740","$333,333","$215,053","$130,718","$4,351"
443,"Stuart, Mark",LD,29,Stnd,UFA,"$1,700,000",69,73,2,11,13,18:38,"$23,287","$850,000","$154,545","$130,769","$1,322"
444,"Stralman, Anton",RD,27,Stnd,UFA,"$1,700,000",81,104,1,12,13,19:24,"$16,346","$1,700,000","$141,666","$130,769","$1,081"
445,"Kulikov, Dmitry",LD,23,Stnd,RFA,"$2,500,000",81,127,8,11,19,21:41,"$19,685","$312,500","$227,272","$131,578","$1,423"
446,"Daley, Trevor",RD,30,Stnd,UFA,"$3,300,000",67,107,9,16,25,21:08,"$30,841","$366,666","$206,250","$132,000","$2,330"
447,"Johnson, Jack",LD,26,Stnd,UFA,"$4,357,143",82,147,5,28,33,24:40:00,"$29,640","$871,428","$155,612","$132,034","$2,154"
448,"Hainsey, Ron",RD,32,Stnd,UFA,"$2,000,000",82,72,4,11,15,21:26,"$27,777","$500,000","$181,818","$133,333","$1,137"
449,"Cammalleri, Mike","LW, C",31,Stnd,UFA,"$6,000,000",63,191,26,19,45,19:50,"$31,413","$230,769","$315,789","$133,333","$4,801"
450,"Markov, Andrei",LD,35,Stnd,UFA,"$5,750,000",81,131,7,36,43,25:14:00,"$43,893","$821,428","$159,722","$133,720","$2,813"
451,"Clifford, Kyle",LW,22,Stnd,RFA,"$1,075,000",71,74,3,5,8,10:09,"$14,527","$358,333","$215,000","$134,375","$1,491"
452,"Parise, Zach",LW,29,Stnd,UFA,"$7,538,461",67,245,29,27,56,20:25,"$30,769","$259,946","$279,202","$134,615","$5,510"
453,"Hjalmarsson, Niklas",LD/RD,26,Stnd,UFA,"$3,500,000",81,98,4,22,26,21:16,"$35,714","$874,999","$159,090","$134,615","$2,031"
454,"Staal, Eric",C,29,Stnd,UFA,"$8,250,000",79,230,21,40,61,20:17,"$35,869","$392,857","$206,250","$135,245","$5,148"
455,"Umberger, R.J.",C,31,Stnd,UFA,"$4,600,000",74,136,18,16,34,16:10,"$33,823","$255,555","$287,500","$135,294","$3,845"
456,"Neil, Chris",RW,34,Stnd,UFA,"$1,900,000",76,99,8,6,14,11:48,"$19,191","$237,500","$316,666","$135,714","$2,118"
