#,PLAYER,POS,AGE,TEAM,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
758,"O'Connor, Drew",LW,22,PIT,ELC,RFA,"$925,000",10,8,0,1,1,8:57,"$115,625",∞,"$925,000","$925,000","$10,335"
759,"McCabe, Jake",LD,27,BUF,Stnd,UFA,"$2,850,000",13,15,1,2,3,19:10,"$190,000","$2,850,000","$1,425,000","$950,000","$11,438"
760,"Calvert, Matt","LW, RW",31,COL,Stnd,UFA,"$2,850,000",18,26,0,3,3,13:48,"$109,615",∞,"$950,000","$950,000","$11,473"
761,"Shaw, Andrew","C, RW",29,CHI,Stnd,UFA,"$3,900,000",14,25,2,2,4,15:06,"$156,000","$1,950,000","$1,950,000","$975,000","$18,448"
762,"Gudbranson, Erik",RD,28,NSH,Stnd,UFA,"$4,000,000",45,58,1,3,4,17:54,"$68,965","$4,000,000","$1,333,333","$1,000,000","$4,965"
763,"Hjalmarsson, Niklas",LD/RD,33,ARI,Stnd,UFA,"$5,000,000",41,29,0,5,5,17:21,"$172,413",∞,"$1,000,000","$1,000,000","$7,028"
764,"Johnston, Ross",LW,26,NYI,Stnd,UFA,"$1,000,000",12,5,0,1,1,8:44,"$200,000",∞,"$1,000,000","$1,000,000","$9,541"
765,"Määttä, Olli",LD,26,LAK,Stnd,UFA,"$4,083,333",41,43,0,4,4,16:26,"$94,961",∞,"$1,020,833","$1,020,833","$6,060"
766,"Stepan, Derek",C,30,OTT,Stnd,UFA,"$6,500,000",20,44,1,5,6,15:03,"$147,727","$6,500,000","$1,300,000","$1,083,333","$21,594"
767,"Demers, Jason",RD,32,ARI,Stnd,UFA,"$4,500,000",41,44,0,4,4,17:14,"$102,272",∞,"$1,125,000","$1,125,000","$6,368"
768,"Johnson, Jack",LD,33,NYR,Stnd,UFA,"$1,150,000",13,13,1,0,1,16:58,"$88,461","$1,150,000",∞,"$1,150,000","$5,213"
769,"Vlasic, Marc-Édouard",LD/RD,33,SJS,Stnd,UFA,"$7,000,000",51,37,1,5,6,17:30,"$189,189","$7,000,000","$1,400,000","$1,166,666","$7,843"
770,"Brown, Joshua",RD,26,OTT,Stnd,UFA,"$1,200,000",26,8,0,1,1,14:08,"$150,000",∞,"$1,200,000","$1,200,000","$3,265"
771,"Hickey, Thomas",LD,31,NYI,Stnd,UFA,"$2,500,000",5,2,0,2,2,16:15,"$1,250,000",∞,"$1,250,000","$1,250,000","$30,769"
772,"Beaulieu, Nathan",LD/RD,28,WPG,Stnd,UFA,"$1,250,000",25,26,0,1,1,16:43,"$48,076",∞,"$1,250,000","$1,250,000","$2,991"
773,"Moore, John",LD,30,BOS,Stnd,UFA,"$2,750,000",5,8,0,2,2,20:59,"$343,750",∞,"$1,375,000","$1,375,000","$26,211"
774,"Backes, David","C, RW",36,ANA,Stnd,UFA,"$6,000,000",15,30,3,1,4,12:44,"$200,000","$2,000,000","$6,000,000","$1,500,000","$31,413"
775,"Borowiecki, Mark",LD,31,NSH,Stnd,UFA,"$2,000,000",22,18,0,1,1,13:40,"$111,111",∞,"$2,000,000","$2,000,000","$6,651"
776,"Deangelo, Anthony",RD,25,NYR,Stnd,RFA,"$4,800,000",6,13,0,1,1,18:28,"$369,230",∞,"$4,800,000","$4,800,000","$43,321"
777,"Eriksson, Loui","LW, RW",35,VAN,Stnd,UFA,"$6,000,000",7,5,0,1,1,9:34,"$1,200,000",∞,"$6,000,000","$6,000,000","$89,596"
778,"Bernard-Docker, Jacob",RD,20,OTT,ELC,RFA,"$925,000",5,6,0,0,0,13:39,"$154,166",∞,∞,∞,"$13,553"
779,"Heinola, Ville",LD,19,WPG,ELC,RFA,"$894,167",5,9,0,0,0,15:31,"$99,351",∞,∞,∞,"$11,525"
780,"Claesson, Fredrik",LD,28,TBL,Stnd,UFA,"$700,000",6,4,0,0,0,12:23,"$175,000",∞,∞,∞,"$9,421"
781,"Thomas, Ben",RD,24,TBL,Stnd,UFA,"$700,000",5,3,0,0,0,14:14,"$233,333",∞,∞,∞,"$9,836"
782,"Fasching, Hudson",RW,25,ARI,Stnd,UFA,"$737,500",5,7,0,0,0,9:27,"$105,357",∞,∞,∞,"$15,608"
783,"Lind, Kole",RW,22,VAN,ELC,RFA,"$891,666",6,3,0,0,0,13:34,"$297,222",∞,∞,∞,"$10,954"
784,"Benoit, Simon",LD,22,ANA,ELC,RFA,"$809,166",6,3,0,0,0,17:11,"$269,722",∞,∞,∞,"$7,848"
785,"Frolík, Michael","LW, RW",32,MTL,Stnd,UFA,"$750,000",8,14,0,0,0,11:26,"$53,571",∞,∞,∞,"$8,199"
786,"Kaut, Martin",RW,21,COL,ELC,RFA,"$863,333",5,2,0,0,0,7:59,"$431,666",∞,∞,∞,"$21,628"
787,"Robinson, Buddy",RW,29,CGY,Stnd,UFA,"$700,000",9,6,0,0,0,7:08,"$116,666",∞,∞,∞,"$10,903"
788,"Dunne, Joshua",C,22,CBJ,ELC,RFA,"$925,000",6,7,0,0,0,10:23,"$132,142",∞,∞,∞,"$14,847"
789,"Borgen, William",RD,24,BUF,ELC,RFA,"$864,166",10,7,0,0,0,16:15,"$123,452",∞,∞,∞,"$5,317"
790,"Twarynski, Carsen",LW,23,PHI,ELC,RFA,"$775,833",7,4,0,0,0,8:51,"$193,958",∞,∞,∞,"$12,523"
791,"Laczynski, Tanner",C,23,PHI,ELC,RFA,"$925,000",5,6,0,0,0,9:58,"$154,166",∞,∞,∞,"$18,561"
792,"Ouellet, Xavier",LD,27,MTL,Stnd,UFA,"$737,500",6,5,0,0,0,14:27,"$147,500",∞,∞,∞,"$8,506"
793,"McCarron, Michael","RW, C",25,NSH,Stnd,RFA,"$700,000",6,3,0,0,0,10:17,"$233,333",∞,∞,∞,"$11,345"
794,"Kiersted, Matt",LD,22,FLA,ELC,RFA,"$858,750",7,6,0,0,0,15:10,"$143,125",∞,∞,∞,"$8,088"
795,"Truchon-Viel, Jeffrey",LW,23,SJS,ELC,RFA,"$780,000",11,10,0,0,0,7:16,"$78,000",∞,∞,∞,"$9,758"
796,"Senyshyn, Zach",RW,23,BOS,Stnd,RFA,"$700,000",8,10,0,0,0,10:06,"$70,000",∞,∞,∞,"$8,663"
797,"MacInnis, Ryan",C,24,CBJ,Stnd,UFA,"$700,000",16,14,0,0,0,9:58,"$50,000",∞,∞,∞,"$4,389"
798,"Welinski, Andy",RD,27,ANA,Stnd,UFA,"$750,000",13,16,0,0,0,15:01,"$46,875",∞,∞,∞,"$3,841"
799,"Johnson, Reese",RW,22,CHI,ELC,RFA,"$880,833",5,4,0,0,0,7:56,"$220,208",∞,∞,∞,"$22,205"
800,"Michaelis, Marc","LW, C",25,VAN,Stnd,RFA,"$700,000",13,3,0,0,0,9:22,"$233,333",∞,∞,∞,"$5,748"
801,"Andreoff, Andy","LW, C",29,PHI,Stnd,UFA,"$750,000",6,2,0,0,0,8:36,"$375,000",∞,∞,∞,"$14,534"
802,"Davidson, Brandon",LD,29,BUF,Stnd,UFA,"$700,000",6,7,0,0,0,15:20,"$100,000",∞,∞,∞,"$7,608"
803,"Lettieri, Vinni","C, RW",25,ANA,Stnd,UFA,"$750,000",5,7,0,0,0,12:43,"$107,142",∞,∞,∞,"$11,795"
804,"Gabriel, Kurtis",RW,27,SJS,Stnd,UFA,"$700,000",11,4,0,0,0,7:40,"$175,000",∞,∞,∞,"$8,300"
805,"Nygård, Joakim",LW,27,EDM,Stnd,UFA,"$875,000",9,6,0,0,0,9:08,"$145,833",∞,∞,∞,"$10,644"
806,"Milano, Sonny",LW,24,ANA,Stnd,RFA,"$1,700,000",6,8,0,0,0,14:44,"$212,500",∞,∞,∞,"$19,230"
807,"Niku, Sami",RD,24,WPG,Stnd,RFA,"$725,000",6,2,0,0,0,12:58,"$362,500",∞,∞,∞,"$9,318"
808,"Siegenthaler, Jonas",LD,23,NJD,Stnd,RFA,"$800,000",15,7,0,0,0,15:36,"$114,285",∞,∞,∞,"$3,418"
809,"Poganski, Austin",RW,24,STL,Stnd,UFA,"$700,000",5,0,0,0,0,7:33,∞,∞,∞,∞,"$18,543"
810,"Noesen, Stefan","RW, LW",27,TOR,Stnd,UFA,"$925,000",6,5,0,0,0,9:36,"$185,000",∞,∞,∞,"$16,059"
811,"Simon, Dominik","RW, LW",26,CGY,Stnd,RFA,"$700,000",10,2,0,0,0,9:37,"$350,000",∞,∞,∞,"$7,279"
812,"Chaput, Michael",C,28,ARI,Stnd,UFA,"$700,000",13,3,0,0,0,9:24,"$233,333",∞,∞,∞,"$5,72"
