#,PLAYER,POS,AGE,TEAM,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
469,"Perreault, Mathieu","LW, RW",32,WPG,Stnd,UFA,"$4,125,000",56,57,9,10,19,11:42,"$72,368","$458,333","$412,500","$217,105","$6,295"
470,"Cirelli, Anthony",C,23,TBL,Stnd,RFA,"$4,800,000",50,75,9,13,22,17:44,"$64,000","$533,333","$369,230","$218,181","$5,413"
471,"MacDermid, Kurtis",LD/RD,26,LAK,Stnd,UFA,"$875,000",28,16,2,2,4,13:21,"$54,687","$437,500","$437,500","$218,750","$2,340"
472,"Tanev, Brandon","RW, LW",29,PIT,Stnd,UFA,"$3,500,000",32,43,7,9,16,14:26,"$81,395","$500,000","$388,888","$218,750","$7,577"
473,"Tavares, John",C,30,TOR,Stnd,UFA,"$11,000,000",56,163,19,31,50,18:11,"$67,484","$578,947","$354,838","$220,000","$10,802"
474,"Jenner, Boone","C, LW",27,CBJ,Stnd,UFA,"$3,750,000",41,79,8,9,17,17:59,"$47,468","$468,749","$416,666","$220,588","$5,086"
475,"Domi, Max","C, LW",25,CBJ,Stnd,UFA,"$5,300,000",54,99,9,15,24,15:13,"$53,535","$588,888","$353,333","$220,833","$6,450"
476,"Palmieri, Kyle","RW, LW",29,NYI,Stnd,UFA,"$4,650,000",51,115,10,11,21,16:34,"$40,434","$465,000","$422,727","$221,428","$5,503"
477,"Sandin, Rasmus",LD,20,TOR,ELC,RFA,"$894,167",9,9,0,4,4,14:39,"$99,351",∞,"$223,541","$223,541","$6,781"
478,"Foudy, Liam","C, LW, RW",20,CBJ,ELC,RFA,"$894,167",24,40,0,4,4,12:35,"$22,354",∞,"$223,541","$223,541","$2,960"
479,"Stastny, Paul","C, LW",35,WPG,Stnd,UFA,"$6,500,000",56,101,13,16,29,17:24,"$64,356","$500,000","$406,250","$224,137","$6,670"
480,"Gostisbehere, Shayne",LD,27,PHI,Stnd,UFA,"$4,500,000",41,85,9,11,20,19:56,"$52,941","$500,000","$409,090","$225,000","$5,506"
481,"Ovechkin, Alex","LW, RW",35,WSH,Stnd,UFA,"$9,538,462",45,182,24,18,42,19:30,"$52,409","$397,435","$529,914","$227,106","$10,870"
482,"Johnson, Tyler","RW, C",30,TBL,Stnd,UFA,"$5,000,000",55,77,8,14,22,13:39,"$64,935","$625,000","$357,142","$227,272","$6,660"
483,"Gudas, Radko",RD,30,FLA,Stnd,UFA,"$2,500,000",54,84,2,9,11,17:34,"$29,761","$1,250,000","$277,777","$227,272","$2,635"
484,"Monahan, Sean",C,26,CGY,Stnd,UFA,"$6,375,000",50,98,10,18,28,17:41,"$65,051","$637,500","$354,166","$227,678","$7,210"
485,"Anderson, Josh",RW,26,MTL,Stnd,UFA,"$5,500,000",52,125,17,7,24,16:25,"$44,000","$323,529","$785,714","$229,166","$6,442"
486,"Hayes, Kevin",C,28,PHI,Stnd,UFA,"$7,142,857",55,127,12,19,31,17:31,"$56,242","$595,238","$375,939","$230,414","$7,414"
487,"Denisenko, Grigori","LW, RW",20,FLA,ELC,RFA,"$925,000",7,6,0,4,4,11:56,"$154,166",∞,"$231,249","$231,249","$11,073"
488,"Kulak, Brett",LD,26,MTL,Stnd,UFA,"$1,850,000",46,57,2,6,8,16:06,"$32,456","$925,000","$308,333","$231,250","$2,497"
489,"Kravtsov, Vitali",RW,21,NYR,ELC,RFA,"$925,000",20,23,2,2,4,12:23,"$40,217","$462,500","$462,500","$231,250","$3,734"
490,"Jones, Zachary",LD,20,NYR,ELC,RFA,"$925,000",10,12,0,4,4,14:59,"$77,083",∞,"$231,250","$231,250","$6,173"
491,"Myers, Philippe",RD,23,PHI,Stnd,RFA,"$2,550,000",44,77,1,10,11,18:52,"$33,116","$2,550,000","$254,999","$231,818","$3,071"
492,"Orlov, Dmitry",LD/RD,29,WSH,Stnd,UFA,"$5,100,000",51,83,8,14,22,19:48,"$61,445","$637,500","$364,285","$231,818","$5,050"
493,"Faksa, Radek",C,26,DAL,Stnd,UFA,"$3,250,000",55,94,6,8,14,17:25,"$34,574","$541,666","$406,250","$232,142","$3,392"
494,"Smith, Gemel",C,26,TBL,Stnd,UFA,"$700,000",5,0,0,3,3,10:02,∞,∞,"$233,333","$233,333","$13,953"
495,"Fogarty, Steven","C, RW",27,BUF,Stnd,UFA,"$700,000",9,5,1,2,3,11:43,"$140,000","$700,000","$350,000","$233,333","$6,638"
496,"Renouf, Daniel",LD,26,COL,Stnd,UFA,"$700,000",18,12,0,3,3,10:09,"$58,333",∞,"$233,333","$233,333","$3,831"
497,"Bishop, Clark",C,24,OTT,Stnd,UFA,"$700,000",13,16,0,3,3,9:28,"$43,750",∞,"$233,333","$233,333","$5,687"
498,"Amadio, Michael","C, RW",24,OTT,Stnd,RFA,"$700,000",25,24,0,3,3,12:33,"$29,166",∞,"$233,333","$233,333","$2,231"
499,"O'Brien, Liam","C, RW",26,COL,Stnd,UFA,"$700,000",12,6,0,3,3,6:34,"$116,666",∞,"$233,333","$233,333","$8,883"
500,"Gavrikov, Vladislav",LD,25,CBJ,Stnd,UFA,"$2,800,000",55,48,2,10,12,19:24,"$58,333","$1,400,000","$280,000","$233,333","$2,624"
501,"McCormick, Max",LW,28,CAR,Stnd,UFA,"$700,000",12,5,2,1,3,7:49,"$140,000","$350,000","$700,000","$233,333","$7,462"
502,"Tennyson, Matt",RD,30,NJD,Stnd,UFA,"$700,000",21,14,1,2,3,14:30,"$49,999","$700,000","$350,000","$233,333","$2,298"
503,"Graovac, Tyler",C,27,VAN,Stnd,UFA,"$700,000",12,14,3,0,3,9:47,"$50,000","$233,333",∞,"$233,333","$5,962"
504,"Yandle, Keith",LD,34,FLA,Stnd,UFA,"$6,350,000",56,113,3,24,27,17:14,"$56,194","$2,116,666","$264,583","$235,185","$6,579"
505,"Dubois, Pierre-Luc",C,22,WPG,Stnd,RFA,"$5,000,000",46,76,9,12,21,15:01,"$65,789","$555,555","$416,666","$238,095","$7,238"
506,"Drouin, Jonathan",LW,25,MTL,Stnd,UFA,"$5,500,000",44,76,2,21,23,16:05,"$72,368","$2,750,000","$261,904","$239,130","$7,772"
507,"Cizikas, Casey",C,29,NYI,Stnd,UFA,"$3,350,000",56,72,7,7,14,13:50,"$46,527","$478,571","$478,571","$239,285","$4,324"
508,"Bjugstad, Nick","C, RW",28,MIN,Stnd,UFA,"$4,100,000",44,78,6,11,17,11:48,"$52,564","$683,333","$372,727","$241,176","$7,896"
509,"Friedman, Mark",RD,25,PIT,Stnd,RFA,"$725,000",9,9,2,1,3,11:03,"$80,555","$362,500","$725,000","$241,666","$7,290"
510,"Hall, Taylor",LW,29,BOS,Stnd,UFA,"$8,000,000",53,136,10,23,33,17:51,"$58,823","$800,000","$347,826","$242,424","$8,456"
511,"Carrier, Alexandre",RD,24,NSH,Stnd,RFA,"$733,333",19,31,1,2,3,20:02,"$23,655","$733,333","$366,666","$244,444","$1,926"
512,"Pederson, Lane",C,23,ARI,Stnd,RFA,"$735,000",15,15,1,2,3,11:04,"$49,000","$735,000","$367,500","$245,000","$4,427"
513,"Goligoski, Alex",LD/RD,35,ARI,Stnd,UFA,"$5,475,000",56,72,3,19,22,23:00,"$76,041","$1,825,000","$288,157","$248,863","$4,250"
514,"Gustafsson, Erik",LD/RD,28,MTL,Stnd,UFA,"$3,000,000",29,33,1,11,12,16:42,"$90,909","$3,000,000","$272,727","$249,999","$6,194"
515,"Dadonov, Evgeni","RW, LW",31,OTT,Stnd,UFA,"$5,000,000",55,89,13,7,20,15:34,"$56,179","$384,615","$714,285","$249,999","$5,839"
516,"Bear, Ethan",RD,23,EDM,Stnd,RFA,"$2,000,000",43,53,2,6,8,17:57,"$37,735","$999,999","$333,333","$249,999","$2,591"
517,"Benning, Matthew",RD,26,NSH,Stnd,UFA,"$1,000,000",53,43,1,3,4,16:19,"$23,255","$1,000,000","$333,333","$250,000","$1,156"
518,"Saad, Brandon","RW, LW",28,COL,Stnd,UFA,"$6,000,000",44,68,15,9,24,14:05,"$88,235","$399,999","$666,666","$250,000","$9,682"
519,"Bogosian, Zach",RD,30,TOR,Stnd,UFA,"$1,000,000",45,36,0,4,4,14:32,"$27,777",∞,"$250,000","$250,000","$1,529"
520,"Gross, Jordan",RD,25,ARI,Stnd,UFA,"$750,000",7,10,0,3,3,13:11,"$75,000",∞,"$250,000","$250,000","$8,127"
521,"Werenski, Zachary",LD,23,CBJ,Stnd,RFA,"$5,000,000",35,79,7,13,20,24:21:00,"$63,291","$714,285","$384,615","$250,000","$5,866"
522,"Stamkos, Steven","C, RW",30,TBL,Stnd,UFA,"$8,500,000",38,91,17,17,34,18:16,"$93,406","$500,000","$500,000","$250,000","$12,245"
523,"Dalpe, Zac",C,31,CBJ,Stnd,UFA,"$750,000",12,22,2,1,3,10:37,"$34,090","$375,000","$750,000","$250,000","$5,886"
524,"Staal, Eric",C,36,MTL,Stnd,UFA,"$3,250,000",53,82,5,8,13,14:43,"$39,634","$650,000","$406,250","$250,000","$4,166"
525,"Gerbe, Nathan","LW, RW",33,CBJ,Stnd,UFA,"$750,000",9,9,1,2,3,11:06,"$83,333","$750,000","$375,000","$250,000","$7,507"
526,"Richardson, Brad",C,35,NSH,35+,UFA,"$1,000,000",17,18,1,3,4,12:15,"$55,555","$1,000,000","$333,333","$250,000","$4,801"
527,"Sherwood, Kiefer","RW, C",25,COL,Stnd,RFA,"$750,000",16,18,0,3,3,8:47,"$41,666",∞,"$250,000","$250,000","$5,336"
528,"Barré-Boulet, Alex",C,23,TBL,ELC,RFA,"$759,258",15,26,3,0,3,15:15,"$29,202","$253,086",∞,"$253,086","$3,319"
529,"Schwartz, Jaden",LW,28,STL,Stnd,UFA,"$5,350,000",40,70,8,13,21,17:42,"$76,428","$668,750","$411,538","$254,761","$7,556"
530,"Studnicka, Jack","RW, C",21,BOS,ELC,RFA,"$769,167",20,28,1,2,3,12:45,"$27,470","$769,167","$384,583","$256,389","$3,016"
531,"Murphy, Connor",RD,27,CHI,Stnd,UFA,"$3,850,000",50,78,3,12,15,22:08,"$49,358","$1,283,333","$320,833","$256,666","$3,478"
