Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Dmitrij Jaskin,20162017,STL,L,R,51,1,10,11,5,18,0.22,1,11,0,0,0,0,0,0,55,1.8,11:33,50
Marko Dano,20162017,WPG,L,C,38,4,7,11,0,10,0.29,2,9,2,2,0,0,0,0,44,9.1,10:41,25
Zach Bogosian,20162017,BUF,R,D,56,2,9,11,-17,46,0.2,2,10,0,1,0,0,1,1,73,2.7,20:05,--
Michael Raffl,20162017,PHI,L,L,52,8,3,11,-7,20,0.21,8,11,0,0,0,0,0,3,63,12.7,13:16,30
Ryan Murray,20162017,CBJ,L,D,60,2,9,11,3,24,0.18,2,9,0,1,0,1,0,0,52,3.9,18:20,--
Adam Clendening,20162017,NYR,R,D,31,2,9,11,3,17,0.35,1,9,1,2,0,0,0,0,38,5.3,15:49,--
Denis Malgin,20162017,FLA,R,C,47,6,4,10,-5,8,0.21,4,8,2,2,0,0,1,1,67,9,11:14,36.4
Joseph Cramarossa,20162017,"ANA,VAN",L,C,59,4,6,10,0,60,0.17,4,8,0,0,0,2,0,1,36,11.1,9:57,85.7
Christopher Tanev,20162017,VAN,R,D,53,2,8,10,3,14,0.19,2,10,0,0,0,0,1,1,39,5.1,20:21,--
Anton Slepyshev,20162017,EDM,R,L,41,4,6,10,5,4,0.24,4,10,0,0,0,0,0,0,55,7.3,11:07,40
Colton Sissons,20162017,NSH,R,C,58,8,2,10,11,12,0.17,7,9,0,0,1,1,0,1,42,19.1,11:07,50
Reid Boucher,20162017,"NJD,NSH,VAN",L,C,39,6,4,10,-6,8,0.26,5,9,1,1,0,0,0,0,70,8.6,11:56,0
Stephen Johns,20162017,DAL,R,D,61,4,6,10,-10,36,0.16,4,9,0,1,0,0,0,1,91,4.4,18:15,--
Joshua Ho-Sang,20162017,NYI,R,R,21,4,6,10,1,12,0.48,3,8,1,2,0,0,0,0,22,18.2,16:27,0
Stefan Noesen,20162017,"ANA,NJD",R,R,44,8,2,10,6,24,0.23,8,10,0,0,0,0,0,0,63,12.7,11:08,38.8
Jacob Josefson,20162017,NJD,L,C,38,1,9,10,-1,16,0.26,1,9,0,1,0,0,0,1,44,2.3,12:15,51.8
Brian Flynn,20162017,MTL,R,C,51,6,4,10,2,4,0.2,6,10,0,0,0,0,0,0,47,12.8,12:04,46.3
Nikita Zadorov,20162017,COL,L,D,56,0,10,10,-20,73,0.18,0,8,0,2,0,0,0,0,61,0,19:02,--
Chad Ruhwedel,20162017,PIT,R,D,34,2,8,10,9,8,0.29,2,7,0,3,0,0,0,0,45,4.4,17:20,--
Alexei Emelin,20162017,MTL,L,D,76,2,8,10,1,71,0.13,2,10,0,0,0,0,0,0,82,2.4,21:19,--
Brenden Dillon,20162017,SJS,L,D,81,2,8,10,-2,60,0.12,2,10,0,0,0,0,0,0,86,2.3,16:28,--
Cedric Paquette,20162017,TBL,L,C,58,4,6,10,-6,80,0.17,4,10,0,0,0,0,0,0,68,5.9,11:31,46.1
Adam Pelech,20162017,NYI,L,D,44,3,7,10,-5,6,0.23,3,10,0,0,0,0,0,0,40,7.5,16:50,--
Logan Shaw,20162017,ANA,R,R,55,3,7,10,3,10,0.18,2,8,0,0,1,2,0,1,59,5.1,9:43,37.9
Marc Staal,20162017,NYR,L,D,72,3,7,10,9,34,0.14,3,9,0,0,0,1,0,0,70,4.3,19:11,0
Adam McQuaid,20162017,BOS,R,D,77,2,8,10,4,71,0.13,2,9,0,0,0,1,0,1,64,3.1,18:15,--
Nikita Soshnikov,20162017,TOR,L,R,56,5,4,9,1,16,0.16,5,8,0,1,0,0,0,0,70,7.1,10:51,11.8
Matt Martin,20162017,TOR,L,L,82,5,4,9,0,123,0.11,5,9,0,0,0,0,0,0,66,7.6,8:54,0
Michael Sgarbossa,20162017,"ANA,FLA",L,C,38,2,7,9,-5,9,0.24,1,7,1,2,0,0,0,0,33,6.1,11:09,44
Jason Garrison,20162017,TBL,L,D,70,1,8,9,-8,14,0.13,1,9,0,0,0,0,0,0,96,1,18:34,--
Shea Theodore,20162017,ANA,L,D,34,2,7,9,-6,28,0.26,1,6,1,2,0,1,1,1,60,3.3,17:19,--
Daniel Carr,20162017,MTL,L,L,33,2,7,9,4,6,0.27,2,9,0,0,0,0,0,1,44,4.6,10:15,66.7
Joseph Blandisi,20162017,NJD,L,C,27,3,6,9,-10,26,0.33,2,4,1,5,0,0,1,2,24,12.5,13:22,45
Jack Skille,20162017,VAN,R,R,55,5,4,9,0,12,0.16,5,9,0,0,0,0,0,0,73,6.9,8:48,100
Greg Pateryn,20162017,"MTL,DAL",R,D,36,1,8,9,-1,10,0.25,1,9,0,0,0,0,0,0,42,2.4,15:25,--
Tyler Graovac,20162017,MIN,L,C,52,7,2,9,7,10,0.17,7,9,0,0,0,0,0,2,48,14.6,9:50,47.5
Jonathan Ericsson,20162017,DET,L,D,51,1,8,9,-2,63,0.18,1,9,0,0,0,0,0,0,43,2.3,19:13,--
Johnny Oduya,20162017,"DAL,CHI",L,D,52,2,7,9,-4,18,0.17,2,9,0,0,0,0,0,0,37,5.4,18:16,--
Nail Yakupov,20162017,STL,L,R,40,3,6,9,-3,14,0.23,3,9,0,0,0,0,0,0,35,8.6,10:39,--
Michael Chaput,20162017,VAN,L,C,68,4,5,9,-12,29,0.13,4,9,0,0,0,0,0,0,64,6.3,11:01,52.7
Scott Mayfield,20162017,NYI,R,D,25,2,7,9,-1,35,0.36,2,9,0,0,0,0,0,0,39,5.1,14:08,--
Nikita Tryamkin,20162017,VAN,L,D,66,2,7,9,-7,64,0.14,2,9,0,0,0,0,0,0,65,3.1,16:44,--
Matt Puempel,20162017,"OTT,NYR",L,L,40,6,3,9,-11,11,0.23,3,6,3,3,0,0,0,1,44,13.6,9:39,0
Brendan Smith,20162017,"DET,NYR",L,D,51,3,6,9,1,63,0.18,2,6,1,3,0,0,0,1,62,4.8,19:15,--
Devante Smith-Pelly,20162017,NJD,R,R,53,4,5,9,-19,12,0.17,4,7,0,2,0,0,0,0,76,5.3,13:30,40.9
Zach Sanford,20162017,"WSH,STL",L,L,39,4,4,8,2,10,0.21,4,8,0,0,0,0,0,2,36,11.1,10:51,43.6
Yannick Weber,20162017,NSH,R,D,73,1,7,8,1,25,0.11,1,8,0,0,0,0,0,1,72,1.4,11:55,--
Dennis Rasmussen,20162017,CHI,L,C,68,4,4,8,-4,12,0.12,4,8,0,0,0,0,0,0,77,5.2,11:50,44.6
Yanni Gourde,20162017,TBL,L,C,20,6,2,8,-1,8,0.4,5,7,0,0,1,1,1,1,30,20,15:22,36.8
Jesse Puljujarvi,20162017,EDM,R,R,28,1,7,8,5,10,0.29,0,7,1,1,0,0,0,0,41,2.4,11:15,0
Joe Colborne,20162017,COL,L,C,62,4,4,8,-21,34,0.13,2,5,2,3,0,0,0,0,48,8.3,10:42,38.5
William Carrier,20162017,BUF,L,L,41,5,3,8,-1,21,0.2,5,8,0,0,0,0,0,1,50,10,9:00,50
Matt Beleskey,20162017,BOS,L,L,49,3,5,8,-10,47,0.16,3,6,0,2,0,0,0,0,79,3.8,13:16,41.4
Jay McClement,20162017,CAR,L,C,65,5,3,8,-8,18,0.12,4,7,0,0,1,1,0,1,37,13.5,11:23,48.2
Jordan Nolan,20162017,LAK,L,C,46,4,4,8,-3,44,0.17,4,8,0,0,0,0,0,0,39,10.3,10:51,33.3
Alexey Marchenko,20162017,"DET,TOR",R,D,41,1,7,8,7,12,0.2,1,7,0,0,0,1,0,0,36,2.8,16:57,--
Michal Kempny,20162017,CHI,L,D,50,2,6,8,1,22,0.16,2,8,0,0,0,0,0,0,67,3,14:58,--
Pierre-Edouard Bellemare,20162017,PHI,L,C,82,4,4,8,-1,20,0.1,4,7,0,0,0,1,0,0,90,4.4,12:58,48.4
Connor Carrick,20162017,TOR,R,D,67,2,6,8,8,51,0.12,1,7,1,1,0,0,0,0,89,2.3,16:20,--
Luke Schenn,20162017,ARI,R,D,78,1,7,8,-9,85,0.1,1,8,0,0,0,0,0,0,94,1.1,18:03,--
Dylan DeMelo,20162017,SJS,R,D,25,1,7,8,2,14,0.32,1,8,0,0,0,0,0,0,32,3.1,15:54,--
Christian Folin,20162017,MIN,R,D,51,2,6,8,10,26,0.16,2,8,0,0,0,0,0,0,39,5.1,14:56,--
Justin Falk,20162017,BUF,L,D,52,0,8,8,-3,29,0.15,0,8,0,0,0,0,0,0,33,0,13:42,--
Paul LaDue,20162017,LAK,R,D,22,0,8,8,-5,4,0.36,0,4,0,4,0,0,0,0,27,0,15:24,--
Jayson Megna,20162017,VAN,R,C,58,4,4,8,-4,6,0.14,4,7,0,1,0,0,0,0,72,5.6,12:26,12.5
